location.length,location.shape.links,incidentDetails.id,incidentDetails.hrn,incidentDetails.originalId,incidentDetails.originalHrn,incidentDetails.startTime,incidentDetails.endTime,incidentDetails.entryTime,incidentDetails.roadClosed,incidentDetails.criticality,incidentDetails.type,incidentDetails.codes,incidentDetails.description.value,incidentDetails.description.language,incidentDetails.summary.value,incidentDetails.summary.language,incidentDetails.junctionTraversability,incidentDetails.vehicleRestrictions,incidentDetails.comment
35.0,"[{'points': [{'lat': 51.5098, 'lng': -0.148}, {'lat': 51.50971, 'lng': -0.14788}], 'length': 13.0}, {'points': [{'lat': 51.50971, 'lng': -0.14788}, {'lat': 51.50956, 'lng': -0.14767}], 'length': 22.0}]",2596305609182064019,here:traffic:incident:2596305609182064019,2596305609182064019,here:traffic:incident:2596305609182064019,2024-10-22T07:00:00Z,2024-10-29T18:00:00Z,2024-10-24T15:14:15Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 22/10/2024 - 29/10/2024 (Westminster City Council)
224.0,"[{'points': [{'lat': 51.5166, 'lng': -0.11854}, {'lat': 51.51666, 'lng': -0.11826}], 'length': 20.0}, {'points': [{'lat': 51.51666, 'lng': -0.11826}, {'lat': 51.51682, 'lng': -0.11756}, {'lat': 51.51685, 'lng': -0.11742}], 'length': 62.0}, {'points': [{'lat': 51.51685, 'lng': -0.11742}, {'lat': 51.51689, 'lng': -0.11726}, {'lat': 51.51694, 'lng': -0.11705}], 'length': 27.0}, {'points': [{'lat': 51.51694, 'lng': -0.11705}, {'lat': 51.51703, 'lng': -0.11663}], 'length': 31.0}, {'points': [{'lat': 51.51703, 'lng': -0.11663}, {'lat': 51.51729, 'lng': -0.11549}], 'length': 84.0}]",691820138787677455,here:traffic:incident:691820138787677455,691820138787677455,here:traffic:incident:691820138787677455,2024-09-25T23:00:00Z,2024-11-11T17:00:00Z,2024-10-24T15:54:37Z,False,low,construction,"[701, 520]",Road construction,en-US,Road construction,en-US,,,
190.0,"[{'points': [{'lat': 51.50631, 'lng': -0.12426}, {'lat': 51.50597, 'lng': -0.12549}], 'length': 93.0}, {'points': [{'lat': 51.50597, 'lng': -0.12549}, {'lat': 51.5059, 'lng': -0.12573}, {'lat': 51.5058, 'lng': -0.12608}, {'lat': 51.50572, 'lng': -0.12641}, {'lat': 51.50561, 'lng': -0.12677}], 'length': 97.0}]",4396905944813584972,here:traffic:incident:4396905944813584972,4396905944813584972,here:traffic:incident:4396905944813584972,2024-09-19T07:00:00Z,2024-11-02T18:00:00Z,2024-10-23T15:09:52Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 19/09/2024 - 02/11/2024 (Westminster City Council)
25.0,"[{'points': [{'lat': 51.50839, 'lng': -0.14614}, {'lat': 51.50824, 'lng': -0.1464}], 'length': 25.0}]",2683693920192133849,here:traffic:incident:2683693920192133849,2683693920192133849,here:traffic:incident:2683693920192133849,2024-10-21T07:00:00Z,2024-10-25T22:59:59Z,2024-10-23T14:08:27Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 21/10/2024 - 25/10/2024 (Cadent)
65.0,"[{'points': [{'lat': 51.50616, 'lng': -0.14722}, {'lat': 51.50619, 'lng': -0.147}], 'length': 16.0}, {'points': [{'lat': 51.50619, 'lng': -0.147}, {'lat': 51.50623, 'lng': -0.14672}], 'length': 20.0}, {'points': [{'lat': 51.50623, 'lng': -0.14672}, {'lat': 51.5063, 'lng': -0.14631}], 'length': 29.0}]",1616405085998799065,here:traffic:incident:1616405085998799065,1616405085998799065,here:traffic:incident:1616405085998799065,2024-08-28T07:00:00Z,2024-11-28T17:00:00Z,2024-10-23T15:07:30Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,
35.0,"[{'points': [{'lat': 51.50956, 'lng': -0.14767}, {'lat': 51.50971, 'lng': -0.14788}], 'length': 22.0}, {'points': [{'lat': 51.50971, 'lng': -0.14788}, {'lat': 51.5098, 'lng': -0.148}], 'length': 13.0}]",930277761345659342,here:traffic:incident:930277761345659342,930277761345659342,here:traffic:incident:930277761345659342,2024-10-22T07:00:00Z,2024-10-29T18:00:00Z,2024-10-24T15:14:15Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 22/10/2024 - 29/10/2024 (Westminster City Council)
141.0,"[{'points': [{'lat': 51.51744, 'lng': -0.10785}, {'lat': 51.51744, 'lng': -0.10749}, {'lat': 51.51742, 'lng': -0.10737}, {'lat': 51.5174, 'lng': -0.10732}], 'length': 38.0}, {'points': [{'lat': 51.5174, 'lng': -0.10732}, {'lat': 51.51737, 'lng': -0.10727}, {'lat': 51.51713, 'lng': -0.10707}], 'length': 35.0}, {'points': [{'lat': 51.51713, 'lng': -0.10707}, {'lat': 51.51688, 'lng': -0.10685}], 'length': 32.0}, {'points': [{'lat': 51.51688, 'lng': -0.10685}, {'lat': 51.51659, 'lng': -0.10662}], 'length': 36.0}]",363218923792308000,here:traffic:incident:363218923792308000,363218923792308000,here:traffic:incident:363218923792308000,2024-10-19T07:00:00Z,2024-11-03T23:59:00Z,2024-10-24T15:54:37Z,True,critical,construction,[735],Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
41.0,"[{'points': [{'lat': 51.50676, 'lng': -0.14743}, {'lat': 51.5064, 'lng': -0.14731}], 'length': 41.0}]",1115164159922639158,here:traffic:incident:1115164159922639158,1115164159922639158,here:traffic:incident:1115164159922639158,2024-09-15T23:00:00Z,2025-08-15T22:59:00Z,2024-10-24T17:42:28Z,False,critical,construction,[802],Long-term road construction,en-US,Long-term road construction,en-US,,,
333.0,"[{'points': [{'lat': 51.51795, 'lng': -0.14177}, {'lat': 51.51764, 'lng': -0.14162}], 'length': 36.0}, {'points': [{'lat': 51.51764, 'lng': -0.14162}, {'lat': 51.51777, 'lng': -0.14083}], 'length': 57.0}, {'points': [{'lat': 51.51777, 'lng': -0.14083}, {'lat': 51.51787, 'lng': -0.14026}], 'length': 41.0}, {'points': [{'lat': 51.51787, 'lng': -0.14026}, {'lat': 51.51794, 'lng': -0.13983}], 'length': 31.0}, {'points': [{'lat': 51.51794, 'lng': -0.13983}, {'lat': 51.518, 'lng': -0.13947}, {'lat': 51.51805, 'lng': -0.13923}], 'length': 43.0}, {'points': [{'lat': 51.51805, 'lng': -0.13923}, {'lat': 51.51811, 'lng': -0.13906}, {'lat': 51.51817, 'lng': -0.1389}, {'lat': 51.51834, 'lng': -0.13845}], 'length': 63.0}, {'points': [{'lat': 51.51834, 'lng': -0.13845}, {'lat': 51.51862, 'lng': -0.13767}], 'length': 62.0}]",116471713756692939,here:traffic:incident:116471713756692939,4274047977532319764,here:traffic:incident:4274047977532319764,2024-10-23T17:27:23Z,2024-10-25T17:27:23Z,2024-10-24T09:31:28Z,True,critical,roadClosure,[401],At Bloomsbury - Closed,en-US,Closed,en-US,intermediateClosedEdgeOpen,,
159.0,"[{'points': [{'lat': 51.51846, 'lng': -0.1056}, {'lat': 51.51837, 'lng': -0.10586}], 'length': 21.0}, {'points': [{'lat': 51.51837, 'lng': -0.10586}, {'lat': 51.5181, 'lng': -0.10676}], 'length': 69.0}, {'points': [{'lat': 51.5181, 'lng': -0.10676}, {'lat': 51.51802, 'lng': -0.10704}], 'length': 21.0}, {'points': [{'lat': 51.51802, 'lng': -0.10704}, {'lat': 51.51793, 'lng': -0.10731}], 'length': 21.0}, {'points': [{'lat': 51.51793, 'lng': -0.10731}, {'lat': 51.51786, 'lng': -0.10746}, {'lat': 51.51777, 'lng': -0.10761}], 'length': 27.0}]",580375007519587209,here:traffic:incident:580375007519587209,580375007519587209,here:traffic:incident:580375007519587209,2024-10-19T07:00:00Z,2024-11-03T23:59:00Z,2024-10-24T15:54:37Z,True,critical,construction,[735],At A4 - Ec4 - Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
