location.description,location.length,location.shape.links,currentFlow.speed,currentFlow.speedUncapped,currentFlow.freeFlow,currentFlow.jamFactor,currentFlow.jamTendency,currentFlow.confidence,currentFlow.traversability,currentFlow.subSegments,currentFlow.junctionTraversability
Piccadily Circus,1226.0,"[{'points': [{'lat': 51.50425, 'lng': -0.14786}, {'lat': 51.50444, 'lng': -0.14748}], 'length': 34.0}, {'points': [{'lat': 51.50444, 'lng': -0.14748}, {'lat': 51.50458, 'lng': -0.14718}, {'lat': 51.50475, 'lng': -0.14683}], 'length': 57.0}, {'points': [{'lat': 51.50475, 'lng': -0.14683}, {'lat': 51.5049, 'lng': -0.14654}], 'length': 26.0}, {'points': [{'lat': 51.5049, 'lng': -0.14654}, {'lat': 51.50499, 'lng': -0.14637}], 'length': 15.0}, {'points': [{'lat': 51.50499, 'lng': -0.14637}, {'lat': 51.50503, 'lng': -0.14628}], 'length': 8.0}, {'points': [{'lat': 51.50503, 'lng': -0.14628}, {'lat': 51.50525, 'lng': -0.14584}, {'lat': 51.50551, 'lng': -0.14534}], 'length': 84.0}, {'points': [{'lat': 51.50551, 'lng': -0.14534}, {'lat': 51.50567, 'lng': -0.14505}], 'length': 27.0}, {'points': [{'lat': 51.50567, 'lng': -0.14505}, {'lat': 51.50576, 'lng': -0.14488}, {'lat': 51.50583, 'lng': -0.14475}], 'length': 27.0}, {'points': [{'lat': 51.50583, 'lng': -0.14475}, {'lat': 51.50589, 'lng': -0.14455}], 'length': 15.0}, {'points': [{'lat': 51.50589, 'lng': -0.14455}, {'lat': 51.50614, 'lng': -0.14406}], 'length': 44.0}, {'points': [{'lat': 51.50614, 'lng': -0.14406}, {'lat': 51.50642, 'lng': -0.14351}], 'length': 49.0}, {'points': [{'lat': 51.50642, 'lng': -0.14351}, {'lat': 51.50661, 'lng': -0.14314}], 'length': 33.0}, {'points': [{'lat': 51.50661, 'lng': -0.14314}, {'lat': 51.50672, 'lng': -0.14291}], 'length': 20.0}, {'points': [{'lat': 51.50672, 'lng': -0.14291}, {'lat': 51.50691, 'lng': -0.14254}, {'lat': 51.50702, 'lng': -0.14232}], 'length': 53.0}, {'points': [{'lat': 51.50702, 'lng': -0.14232}, {'lat': 51.50716, 'lng': -0.14205}], 'length': 24.0}, {'points': [{'lat': 51.50716, 'lng': -0.14205}, {'lat': 51.50752, 'lng': -0.14132}], 'length': 64.0}, {'points': [{'lat': 51.50752, 'lng': -0.14132}, {'lat': 51.50775, 'lng': -0.14071}], 'length': 49.0}, {'points': [{'lat': 51.50775, 'lng': -0.14071}, {'lat': 51.5078, 'lng': -0.14058}], 'length': 11.0}, {'points': [{'lat': 51.5078, 'lng': -0.14058}, {'lat': 51.50803, 'lng': -0.14}], 'length': 48.0}, {'points': [{'lat': 51.50803, 'lng': -0.14}, {'lat': 51.50807, 'lng': -0.1399}, {'lat': 51.50816, 'lng': -0.13966}], 'length': 28.0}, {'points': [{'lat': 51.50816, 'lng': -0.13966}, {'lat': 51.5082, 'lng': -0.13955}], 'length': 9.0}, {'points': [{'lat': 51.5082, 'lng': -0.13955}, {'lat': 51.50829, 'lng': -0.13928}], 'length': 21.0}, {'points': [{'lat': 51.50829, 'lng': -0.13928}, {'lat': 51.5084, 'lng': -0.13894}], 'length': 27.0}, {'points': [{'lat': 51.5084, 'lng': -0.13894}, {'lat': 51.50844, 'lng': -0.1388}], 'length': 11.0}, {'points': [{'lat': 51.50844, 'lng': -0.1388}, {'lat': 51.50853, 'lng': -0.13851}], 'length': 22.0}, {'points': [{'lat': 51.50853, 'lng': -0.13851}, {'lat': 51.50862, 'lng': -0.13822}], 'length': 22.0}, {'points': [{'lat': 51.50862, 'lng': -0.13822}, {'lat': 51.50874, 'lng': -0.13782}], 'length': 31.0}, {'points': [{'lat': 51.50874, 'lng': -0.13782}, {'lat': 51.5088, 'lng': -0.13762}], 'length': 15.0}, {'points': [{'lat': 51.5088, 'lng': -0.13762}, {'lat': 51.50893, 'lng': -0.13724}], 'length': 30.0}, {'points': [{'lat': 51.50893, 'lng': -0.13724}, {'lat': 51.50898, 'lng': -0.13708}], 'length': 12.0}, {'points': [{'lat': 51.50898, 'lng': -0.13708}, {'lat': 51.50906, 'lng': -0.13681}], 'length': 21.0}, {'points': [{'lat': 51.50906, 'lng': -0.13681}, {'lat': 51.5091, 'lng': -0.13668}], 'length': 10.0}, {'points': [{'lat': 51.5091, 'lng': -0.13668}, {'lat': 51.50927, 'lng': -0.13615}, {'lat': 51.50933, 'lng': -0.13599}], 'length': 54.0}, {'points': [{'lat': 51.50933, 'lng': -0.13599}, {'lat': 51.50938, 'lng': -0.13583}], 'length': 12.0}, {'points': [{'lat': 51.50938, 'lng': -0.13583}, {'lat': 51.50941, 'lng': -0.13574}], 'length': 7.0}, {'points': [{'lat': 51.50941, 'lng': -0.13574}, {'lat': 51.50946, 'lng': -0.13558}], 'length': 12.0}, {'points': [{'lat': 51.50946, 'lng': -0.13558}, {'lat': 51.50967, 'lng': -0.13502}], 'length': 45.0}, {'points': [{'lat': 51.50967, 'lng': -0.13502}, {'lat': 51.50975, 'lng': -0.13475}], 'length': 21.0}, {'points': [{'lat': 51.50975, 'lng': -0.13475}, {'lat': 51.50985, 'lng': -0.13482}], 'length': 12.0}, {'points': [{'lat': 51.50985, 'lng': -0.13482}, {'lat': 51.5099, 'lng': -0.13481}, {'lat': 51.50996, 'lng': -0.13478}], 'length': 13.0}, {'points': [{'lat': 51.50996, 'lng': -0.13478}, {'lat': 51.51, 'lng': -0.13473}, {'lat': 51.51004, 'lng': -0.13465}, {'lat': 51.51011, 'lng': -0.13451}], 'length': 25.0}, {'points': [{'lat': 51.51011, 'lng': -0.13451}, {'lat': 51.5101, 'lng': -0.13438}, {'lat': 51.51009, 'lng': -0.13425}, {'lat': 51.51008, 'lng': -0.13411}, {'lat': 51.51009, 'lng': -0.13396}], 'length': 38.0}, {'points': [{'lat': 51.51009, 'lng': -0.13396}, {'lat': 51.5101, 'lng': -0.13388}, {'lat': 51.51012, 'lng': -0.13368}, {'lat': 51.51013, 'lng': -0.13354}, {'lat': 51.51013, 'lng': -0.13339}], 'length': 40.0}]",2.5,2.5,5.277778,8.1,1.0,0.99,open,"[{'length': 139.0, 'speed': 2.5, 'speedUncapped': 2.5, 'freeFlow': 5.555556, 'jamFactor': 5.9, 'confidence': 0.99, 'traversability': 'open'}, {'length': 111.0, 'speed': 2.2222223, 'speedUncapped': 2.2222223, 'freeFlow': 5.555556, 'jamFactor': 8.0, 'confidence': 0.99, 'traversability': 'open'}, {'length': 330.0, 'speed': 2.777778, 'speedUncapped': 2.777778, 'freeFlow': 5.555556, 'jamFactor': 4.8, 'confidence': 0.99, 'traversability': 'open'}, {'length': 107.0, 'speed': 3.6111112, 'speedUncapped': 3.6111112, 'freeFlow': 4.4444447, 'jamFactor': 1.8, 'confidence': 0.99, 'traversability': 'open'}, {'length': 117.0, 'speed': 1.6666667, 'speedUncapped': 1.6666667, 'freeFlow': 5.555556, 'jamFactor': 7.1, 'confidence': 0.99, 'traversability': 'open'}, {'length': 142.0, 'speed': 3.888889, 'speedUncapped': 3.888889, 'freeFlow': 5.555556, 'jamFactor': 2.9, 'confidence': 0.99, 'traversability': 'open'}, {'length': 176.0, 'speed': 1.9444445, 'speedUncapped': 1.9444445, 'freeFlow': 4.4444447, 'jamFactor': 5.1, 'confidence': 0.99, 'traversability': 'open'}, {'length': 103.0, 'speed': 4.7222223, 'speedUncapped': 4.7222223, 'freeFlow': 5.277778, 'jamFactor': 1.2, 'confidence': 0.99, 'traversability': 'open'}]",
A4/A3212/Charing Cross/Trafalgar Square/Whitehall,392.0,"[{'points': [{'lat': 51.50655, 'lng': -0.12274}, {'lat': 51.50657, 'lng': -0.12281}, {'lat': 51.50664, 'lng': -0.12312}], 'length': 28.0}, {'points': [{'lat': 51.50664, 'lng': -0.12312}, {'lat': 51.50665, 'lng': -0.12318}], 'length': 4.0}, {'points': [{'lat': 51.50665, 'lng': -0.12318}, {'lat': 51.50669, 'lng': -0.12338}, {'lat': 51.50674, 'lng': -0.12363}], 'length': 33.0}, {'points': [{'lat': 51.50674, 'lng': -0.12363}, {'lat': 51.50697, 'lng': -0.12497}], 'length': 96.0}, {'points': [{'lat': 51.50697, 'lng': -0.12497}, {'lat': 51.50701, 'lng': -0.12519}], 'length': 16.0}, {'points': [{'lat': 51.50701, 'lng': -0.12519}, {'lat': 51.50705, 'lng': -0.12539}], 'length': 15.0}, {'points': [{'lat': 51.50705, 'lng': -0.12539}, {'lat': 51.50727, 'lng': -0.12661}], 'length': 88.0}, {'points': [{'lat': 51.50727, 'lng': -0.12661}, {'lat': 51.5073, 'lng': -0.12679}], 'length': 13.0}, {'points': [{'lat': 51.5073, 'lng': -0.12679}, {'lat': 51.50731, 'lng': -0.12693}], 'length': 10.0}, {'points': [{'lat': 51.50731, 'lng': -0.12693}, {'lat': 51.50732, 'lng': -0.12717}, {'lat': 51.50732, 'lng': -0.12723}, {'lat': 51.50734, 'lng': -0.12735}], 'length': 29.0}, {'points': [{'lat': 51.50734, 'lng': -0.12735}, {'lat': 51.50729, 'lng': -0.12737}], 'length': 6.0}, {'points': [{'lat': 51.50729, 'lng': -0.12737}, {'lat': 51.50726, 'lng': -0.12741}, {'lat': 51.50724, 'lng': -0.12745}, {'lat': 51.50721, 'lng': -0.12751}, {'lat': 51.50719, 'lng': -0.12759}, {'lat': 51.50718, 'lng': -0.12766}, {'lat': 51.50718, 'lng': -0.12771}], 'length': 28.0}, {'points': [{'lat': 51.50718, 'lng': -0.12771}, {'lat': 51.5072, 'lng': -0.12781}], 'length': 7.0}, {'points': [{'lat': 51.5072, 'lng': -0.12781}, {'lat': 51.50722, 'lng': -0.12788}, {'lat': 51.50725, 'lng': -0.12795}], 'length': 11.0}, {'points': [{'lat': 51.50725, 'lng': -0.12795}, {'lat': 51.50728, 'lng': -0.12799}, {'lat': 51.50731, 'lng': -0.12801}], 'length': 8.0}]",2.777778,2.777778,4.4444447,1.9,,0.89,open,,
Fitzrovia,902.0,"[{'points': [{'lat': 51.51742, 'lng': -0.14284}, {'lat': 51.5176, 'lng': -0.14296}, {'lat': 51.5177, 'lng': -0.14304}, {'lat': 51.51776, 'lng': -0.14311}], 'length': 42.0}, {'points': [{'lat': 51.51776, 'lng': -0.14311}, {'lat': 51.51781, 'lng': -0.14318}, {'lat': 51.51788, 'lng': -0.1433}], 'length': 19.0}, {'points': [{'lat': 51.51788, 'lng': -0.1433}, {'lat': 51.51801, 'lng': -0.14354}], 'length': 22.0}, {'points': [{'lat': 51.51801, 'lng': -0.14354}, {'lat': 51.5181, 'lng': -0.14379}], 'length': 20.0}, {'points': [{'lat': 51.5181, 'lng': -0.14379}, {'lat': 51.51813, 'lng': -0.14391}, {'lat': 51.51818, 'lng': -0.14401}], 'length': 18.0}, {'points': [{'lat': 51.51818, 'lng': -0.14401}, {'lat': 51.51825, 'lng': -0.1441}, {'lat': 51.51839, 'lng': -0.14422}], 'length': 28.0}, {'points': [{'lat': 51.51839, 'lng': -0.14422}, {'lat': 51.51856, 'lng': -0.1443}, {'lat': 51.51865, 'lng': -0.14435}, {'lat': 51.51874, 'lng': -0.1444}, {'lat': 51.51893, 'lng': -0.1445}], 'length': 63.0}, {'points': [{'lat': 51.51893, 'lng': -0.1445}, {'lat': 51.51908, 'lng': -0.14458}, {'lat': 51.51918, 'lng': -0.14464}], 'length': 29.0}, {'points': [{'lat': 51.51918, 'lng': -0.14464}, {'lat': 51.51924, 'lng': -0.14467}], 'length': 7.0}, {'points': [{'lat': 51.51924, 'lng': -0.14467}, {'lat': 51.51948, 'lng': -0.14479}], 'length': 28.0}, {'points': [{'lat': 51.51948, 'lng': -0.14479}, {'lat': 51.51976, 'lng': -0.14489}], 'length': 32.0}, {'points': [{'lat': 51.51976, 'lng': -0.14489}, {'lat': 51.52047, 'lng': -0.14519}], 'length': 82.0}, {'points': [{'lat': 51.52047, 'lng': -0.14519}, {'lat': 51.52098, 'lng': -0.14543}], 'length': 59.0}, {'points': [{'lat': 51.52098, 'lng': -0.14543}, {'lat': 51.52123, 'lng': -0.14555}], 'length': 29.0}, {'points': [{'lat': 51.52123, 'lng': -0.14555}, {'lat': 51.52166, 'lng': -0.14574}], 'length': 50.0}, {'points': [{'lat': 51.52166, 'lng': -0.14574}, {'lat': 51.52204, 'lng': -0.14592}], 'length': 44.0}, {'points': [{'lat': 51.52204, 'lng': -0.14592}, {'lat': 51.52277, 'lng': -0.14626}], 'length': 84.0}, {'points': [{'lat': 51.52277, 'lng': -0.14626}, {'lat': 51.52287, 'lng': -0.1463}], 'length': 11.0}, {'points': [{'lat': 51.52287, 'lng': -0.1463}, {'lat': 51.5229, 'lng': -0.14612}], 'length': 13.0}, {'points': [{'lat': 51.5229, 'lng': -0.14612}, {'lat': 51.52294, 'lng': -0.14598}, {'lat': 51.52298, 'lng': -0.14586}, {'lat': 51.52303, 'lng': -0.14573}, {'lat': 51.5231, 'lng': -0.1456}], 'length': 43.0}, {'points': [{'lat': 51.5231, 'lng': -0.1456}, {'lat': 51.52318, 'lng': -0.14547}, {'lat': 51.52329, 'lng': -0.14535}, {'lat': 51.52339, 'lng': -0.14526}], 'length': 40.0}, {'points': [{'lat': 51.52339, 'lng': -0.14526}, {'lat': 51.52349, 'lng': -0.1452}, {'lat': 51.52362, 'lng': -0.14515}], 'length': 27.0}, {'points': [{'lat': 51.52362, 'lng': -0.14515}, {'lat': 51.52371, 'lng': -0.14513}, {'lat': 51.52379, 'lng': -0.14512}, {'lat': 51.52386, 'lng': -0.14512}, {'lat': 51.52393, 'lng': -0.14514}], 'length': 35.0}, {'points': [{'lat': 51.52393, 'lng': -0.14514}, {'lat': 51.52402, 'lng': -0.14518}], 'length': 10.0}, {'points': [{'lat': 51.52402, 'lng': -0.14518}, {'lat': 51.52407, 'lng': -0.14492}, {'lat': 51.5241, 'lng': -0.1447}], 'length': 34.0}, {'points': [{'lat': 51.5241, 'lng': -0.1447}, {'lat': 51.5241, 'lng': -0.14443}, {'lat': 51.52408, 'lng': -0.14422}], 'length': 33.0}]",3.888889,3.888889,5.277778,1.1,,0.89,open,,
Blackfriers Bridge,1397.0,"[{'points': [{'lat': 51.52882, 'lng': -0.11572}, {'lat': 51.52862, 'lng': -0.11571}], 'length': 22.0}, {'points': [{'lat': 51.52862, 'lng': -0.11571}, {'lat': 51.52852, 'lng': -0.1157}, {'lat': 51.52844, 'lng': -0.11568}], 'length': 20.0}, {'points': [{'lat': 51.52844, 'lng': -0.11568}, {'lat': 51.52839, 'lng': -0.11567}, {'lat': 51.52833, 'lng': -0.11565}, {'lat': 51.52821, 'lng': -0.11562}, {'lat': 51.52808, 'lng': -0.11558}, {'lat': 51.52794, 'lng': -0.11553}, {'lat': 51.52788, 'lng': -0.1155}, {'lat': 51.52783, 'lng': -0.11547}], 'length': 69.0}, {'points': [{'lat': 51.52783, 'lng': -0.11547}, {'lat': 51.52754, 'lng': -0.11516}], 'length': 39.0}, {'points': [{'lat': 51.52754, 'lng': -0.11516}, {'lat': 51.52747, 'lng': -0.11504}], 'length': 11.0}, {'points': [{'lat': 51.52747, 'lng': -0.11504}, {'lat': 51.52725, 'lng': -0.11472}], 'length': 33.0}, {'points': [{'lat': 51.52725, 'lng': -0.11472}, {'lat': 51.52709, 'lng': -0.11448}], 'length': 24.0}, {'points': [{'lat': 51.52709, 'lng': -0.11448}, {'lat': 51.52693, 'lng': -0.11423}], 'length': 25.0}, {'points': [{'lat': 51.52693, 'lng': -0.11423}, {'lat': 51.52678, 'lng': -0.11397}], 'length': 25.0}, {'points': [{'lat': 51.52678, 'lng': -0.11397}, {'lat': 51.52669, 'lng': -0.11381}, {'lat': 51.52663, 'lng': -0.11367}, {'lat': 51.52661, 'lng': -0.11361}], 'length': 31.0}, {'points': [{'lat': 51.52661, 'lng': -0.11361}, {'lat': 51.52654, 'lng': -0.1134}, {'lat': 51.52649, 'lng': -0.11322}], 'length': 30.0}, {'points': [{'lat': 51.52649, 'lng': -0.11322}, {'lat': 51.52643, 'lng': -0.11297}], 'length': 19.0}, {'points': [{'lat': 51.52643, 'lng': -0.11297}, {'lat': 51.52634, 'lng': -0.11275}, {'lat': 51.52632, 'lng': -0.11271}], 'length': 22.0}, {'points': [{'lat': 51.52632, 'lng': -0.11271}, {'lat': 51.52629, 'lng': -0.11265}, {'lat': 51.52622, 'lng': -0.11254}, {'lat': 51.52617, 'lng': -0.11246}], 'length': 24.0}, {'points': [{'lat': 51.52617, 'lng': -0.11246}, {'lat': 51.52603, 'lng': -0.11222}], 'length': 23.0}, {'points': [{'lat': 51.52603, 'lng': -0.11222}, {'lat': 51.52587, 'lng': -0.11195}], 'length': 26.0}, {'points': [{'lat': 51.52587, 'lng': -0.11195}, {'lat': 51.52566, 'lng': -0.11161}, {'lat': 51.52539, 'lng': -0.11115}], 'length': 77.0}, {'points': [{'lat': 51.52539, 'lng': -0.11115}, {'lat': 51.52536, 'lng': -0.1111}, {'lat': 51.5252, 'lng': -0.11083}], 'length': 31.0}, {'points': [{'lat': 51.5252, 'lng': -0.11083}, {'lat': 51.52505, 'lng': -0.11056}], 'length': 25.0}, {'points': [{'lat': 51.52505, 'lng': -0.11056}, {'lat': 51.52476, 'lng': -0.11021}, {'lat': 51.52454, 'lng': -0.10995}], 'length': 71.0}, {'points': [{'lat': 51.52454, 'lng': -0.10995}, {'lat': 51.52446, 'lng': -0.10982}], 'length': 13.0}, {'points': [{'lat': 51.52446, 'lng': -0.10982}, {'lat': 51.52421, 'lng': -0.10947}], 'length': 37.0}, {'points': [{'lat': 51.52421, 'lng': -0.10947}, {'lat': 51.52398, 'lng': -0.10913}, {'lat': 51.52383, 'lng': -0.10893}], 'length': 56.0}, {'points': [{'lat': 51.52383, 'lng': -0.10893}, {'lat': 51.52365, 'lng': -0.10864}, {'lat': 51.52355, 'lng': -0.10849}, {'lat': 51.52348, 'lng': -0.10839}], 'length': 54.0}, {'points': [{'lat': 51.52348, 'lng': -0.10839}, {'lat': 51.52335, 'lng': -0.10823}], 'length': 18.0}, {'points': [{'lat': 51.52335, 'lng': -0.10823}, {'lat': 51.52329, 'lng': -0.10816}, {'lat': 51.52309, 'lng': -0.10794}], 'length': 35.0}, {'points': [{'lat': 51.52309, 'lng': -0.10794}, {'lat': 51.52294, 'lng': -0.10774}], 'length': 22.0}, {'points': [{'lat': 51.52294, 'lng': -0.10774}, {'lat': 51.5229, 'lng': -0.10768}, {'lat': 51.52275, 'lng': -0.10752}], 'length': 26.0}, {'points': [{'lat': 51.52275, 'lng': -0.10752}, {'lat': 51.52266, 'lng': -0.10743}, {'lat': 51.52258, 'lng': -0.10735}, {'lat': 51.52247, 'lng': -0.10725}, {'lat': 51.52238, 'lng': -0.10717}], 'length': 48.0}, {'points': [{'lat': 51.52238, 'lng': -0.10717}, {'lat': 51.52219, 'lng': -0.107}], 'length': 24.0}, {'points': [{'lat': 51.52219, 'lng': -0.107}, {'lat': 51.52209, 'lng': -0.10692}, {'lat': 51.52197, 'lng': -0.10682}, {'lat': 51.5219, 'lng': -0.10676}], 'length': 36.0}, {'points': [{'lat': 51.5219, 'lng': -0.10676}, {'lat': 51.52162, 'lng': -0.10656}], 'length': 34.0}, {'points': [{'lat': 51.52162, 'lng': -0.10656}, {'lat': 51.52139, 'lng': -0.10641}, {'lat': 51.52116, 'lng': -0.10626}], 'length': 55.0}, {'points': [{'lat': 51.52116, 'lng': -0.10626}, {'lat': 51.52081, 'lng': -0.10606}, {'lat': 51.52058, 'lng': -0.10597}], 'length': 68.0}, {'points': [{'lat': 51.52058, 'lng': -0.10597}, {'lat': 51.52049, 'lng': -0.10594}, {'lat': 51.52034, 'lng': -0.10588}], 'length': 27.0}, {'points': [{'lat': 51.52034, 'lng': -0.10588}, {'lat': 51.52027, 'lng': -0.10586}, {'lat': 51.52009, 'lng': -0.10579}], 'length': 28.0}, {'points': [{'lat': 51.52009, 'lng': -0.10579}, {'lat': 51.51994, 'lng': -0.10573}], 'length': 17.0}, {'points': [{'lat': 51.51994, 'lng': -0.10573}, {'lat': 51.51978, 'lng': -0.10567}], 'length': 18.0}, {'points': [{'lat': 51.51978, 'lng': -0.10567}, {'lat': 51.51966, 'lng': -0.10564}], 'length': 14.0}, {'points': [{'lat': 51.51966, 'lng': -0.10564}, {'lat': 51.51918, 'lng': -0.10551}, {'lat': 51.51881, 'lng': -0.1054}], 'length': 96.0}, {'points': [{'lat': 51.51881, 'lng': -0.1054}, {'lat': 51.5186, 'lng': -0.10532}], 'length': 24.0}]",,,5.555556,10.0,,,closed,"[{'length': 443.0, 'speed': 5.8333335, 'speedUncapped': 5.8333335, 'freeFlow': 5.555556, 'jamFactor': 0.0, 'traversability': 'open'}, {'length': 133.0, 'speed': 2.5, 'speedUncapped': 2.5, 'freeFlow': 5.277778, 'jamFactor': 3.1, 'traversability': 'open'}, {'length': 177.0, 'speed': 6.9444447, 'speedUncapped': 6.9444447, 'freeFlow': 5.555556, 'jamFactor': 0.0, 'traversability': 'open'}, {'length': 107.0, 'speed': 3.0555556, 'speedUncapped': 3.0555556, 'freeFlow': 5.555556, 'jamFactor': 3.1, 'traversability': 'open'}, {'length': 10.0, 'speed': 4.7222223, 'speedUncapped': 4.7222223, 'freeFlow': 5.277778, 'jamFactor': 1.3, 'traversability': 'open'}, {'length': 517.0, 'freeFlow': 5.555556, 'jamFactor': 10.0, 'traversability': 'closed', 'junctionTraversability': 'intermediateClosedEdgeOpen'}, {'length': 10.0, 'speed': 4.7222223, 'speedUncapped': 4.7222223, 'freeFlow': 5.277778, 'jamFactor': 1.3, 'traversability': 'open'}]",intermediateClosedEdgeOpen
Covent Garden,545.0,"[{'points': [{'lat': 51.5133, 'lng': -0.12914}, {'lat': 51.51341, 'lng': -0.12897}], 'length': 17.0}, {'points': [{'lat': 51.51341, 'lng': -0.12897}, {'lat': 51.51355, 'lng': -0.12878}], 'length': 20.0}, {'points': [{'lat': 51.51355, 'lng': -0.12878}, {'lat': 51.51369, 'lng': -0.12861}], 'length': 20.0}, {'points': [{'lat': 51.51369, 'lng': -0.12861}, {'lat': 51.51371, 'lng': -0.12859}, {'lat': 51.51398, 'lng': -0.12825}], 'length': 41.0}, {'points': [{'lat': 51.51398, 'lng': -0.12825}, {'lat': 51.51432, 'lng': -0.12784}], 'length': 47.0}, {'points': [{'lat': 51.51432, 'lng': -0.12784}, {'lat': 51.51455, 'lng': -0.1276}, {'lat': 51.51482, 'lng': -0.12733}, {'lat': 51.51495, 'lng': -0.12721}, {'lat': 51.51512, 'lng': -0.12707}], 'length': 104.0}, {'points': [{'lat': 51.51512, 'lng': -0.12707}, {'lat': 51.51527, 'lng': -0.127}, {'lat': 51.51535, 'lng': -0.12697}], 'length': 26.0}, {'points': [{'lat': 51.51535, 'lng': -0.12697}, {'lat': 51.51538, 'lng': -0.12696}, {'lat': 51.51553, 'lng': -0.12689}], 'length': 21.0}, {'points': [{'lat': 51.51553, 'lng': -0.12689}, {'lat': 51.51561, 'lng': -0.12682}], 'length': 10.0}, {'points': [{'lat': 51.51561, 'lng': -0.12682}, {'lat': 51.51574, 'lng': -0.12666}], 'length': 18.0}, {'points': [{'lat': 51.51574, 'lng': -0.12666}, {'lat': 51.51588, 'lng': -0.12655}], 'length': 17.0}, {'points': [{'lat': 51.51588, 'lng': -0.12655}, {'lat': 51.51597, 'lng': -0.12649}, {'lat': 51.51605, 'lng': -0.12646}, {'lat': 51.51613, 'lng': -0.12643}, {'lat': 51.51624, 'lng': -0.12638}], 'length': 42.0}, {'points': [{'lat': 51.51624, 'lng': -0.12638}, {'lat': 51.51631, 'lng': -0.12641}, {'lat': 51.51641, 'lng': -0.12648}], 'length': 20.0}, {'points': [{'lat': 51.51641, 'lng': -0.12648}, {'lat': 51.51667, 'lng': -0.12667}], 'length': 32.0}, {'points': [{'lat': 51.51667, 'lng': -0.12667}, {'lat': 51.51681, 'lng': -0.12677}], 'length': 17.0}, {'points': [{'lat': 51.51681, 'lng': -0.12677}, {'lat': 51.51694, 'lng': -0.12687}], 'length': 16.0}, {'points': [{'lat': 51.51694, 'lng': -0.12687}, {'lat': 51.51698, 'lng': -0.12667}], 'length': 15.0}, {'points': [{'lat': 51.51698, 'lng': -0.12667}, {'lat': 51.51704, 'lng': -0.12627}], 'length': 28.0}, {'points': [{'lat': 51.51704, 'lng': -0.12627}, {'lat': 51.51709, 'lng': -0.12579}], 'length': 34.0}]",3.3333335,3.3333335,5.555556,3.3,,0.84,open,"[{'length': 145.0, 'speed': 4.166667, 'speedUncapped': 4.166667, 'freeFlow': 5.555556, 'jamFactor': 2.3, 'confidence': 0.84, 'traversability': 'open'}, {'length': 197.0, 'speed': 2.5, 'speedUncapped': 2.5, 'freeFlow': 5.277778, 'jamFactor': 5.6, 'confidence': 0.84, 'traversability': 'open'}, {'length': 204.0, 'speed': 4.4444447, 'speedUncapped': 4.4444447, 'freeFlow': 5.555556, 'jamFactor': 1.9, 'confidence': 0.84, 'traversability': 'open'}]",
